word	definition	syllables	origin	example	prefix	suffix	pronunciation
apple	A round fruit with red, green, or yellow skin	ap|ple	Old English 'æppel'	She ate an apple for lunch.	ap	ple	AP-ul
banana	A long curved yellow fruit	ba|na|na	Wolof 'banana'	He slipped on a banana peel.	ba	na	buh-NAN-uh
cherry	A small round red or dark fruit	cher|ry	Old French 'cerise'	She picked a cherry off the tree.	cher	ry	CHAIR-ee
grape	A small sweet green or purple fruit that grows in clusters	grape	Old French 'grappe'	He picked a bunch of grapes.		e	GRAYP
lemon	An oval yellow citrus fruit	lem|on	Old French 'limon'	She squeezed a lemon into her water.	lem	on	LEM-un
mango	A tropical fruit with a sweet juicy yellow flesh	man|go	Portuguese 'manga', from Tamil	The mango was sweet and ripe.	man	go	MAN-go
orange	A round citrus fruit with orange skin	or|ange	Sanskrit 'naranga'	She peeled an orange for her snack.	or	ange	OR-inj
peach	A soft round fruit with a sweet yellow flesh	peach	Old French 'peche', from Latin 'persica'	The peach was juicy and delicious.		ach	PEECH
plum	A small round fruit with a smooth purple or red skin	plum	Old English 'plume'	She found a plum in her lunch box.		um	PLUM
strawberry	A soft red fruit with small seeds on the surface	straw|ber|ry	Old English 'streawberige'	He picked fresh strawberries from the garden.	straw	berry	STRAW-bair-ee
